trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
43,False,"{'a': 0.2, 'e': 0.38810734487645854}",25,3,37.58911663824464,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.2, 'e': 0.37139268342366927}",20,5,4.541070464340093,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
45,False,"{'a': 0.2, 'e': 0.35504247624892454}",20,10,18.503794705324918,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.2, 'e': 0.3390726592138395}",20,10,-24.547033449176983,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
47,False,"{'a': 0.2, 'e': 0.32349734367442773}",20,1,31.180882402394626,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
48,False,"{'a': 0.2, 'e': 0.3083288433677972}",20,7,21.902843945813483,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.2, 'e': 0.2935777088557854}",30,21,8.741882723962213,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
50,False,"{'a': 0.2, 'e': 0.2792527689768125}",20,10,16.48667623100311,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
51,False,"{'a': 0.2, 'e': 0.2653611787348091}",20,9,22.592606105880815,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
52,False,"{'a': 0.2, 'e': 0.2519084730371604}",25,0,31.612397924121638,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
53,False,"{'a': 0.2, 'e': 0.23889862568209197}",20,13,13.374978552528813,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 0.2, 'e': 0.22633411298963663}",20,0,23.97709765430258,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
55,False,"{'a': 0.2, 'e': 0.21421598146907622}",20,16,7.436355032505008,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.2, 'e': 0.20254391891929208}",20,10,16.169581155899415,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.2, 'e': 0.19131632836651732}",20,8,21.555821791484853,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.2, 'e': 0.18053040425625255}",25,0,37.9821621598999,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
59,False,"{'a': 0.2, 'e': 0.17018221033225306}",25,16,17.875543673631654,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.2, 'e': 0.16026675865517304}",20,7,12.227109720236761,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
61,False,"{'a': 0.2, 'e': 0.15077808923629069}",25,0,24.193752450939826,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
62,False,"{'a': 0.2, 'e': 0.1417093497873648}",20,9,16.254538864379384,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 0.2, 'e': 0.1330528751157033}",30,0,25.269066360330914,"{0: 29, 1: 0, 2: 0, 3: 1, 4: 0}",0
64,False,"{'a': 0.2, 'e': 0.12480026572357654}",25,6,11.227396582698283,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 0}",1
65,False,"{'a': 0.2, 'e': 0.11694246520280009}",20,6,26.139452613396802,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
66,False,"{'a': 0.2, 'e': 0.10946983604826958}",20,5,21.890218423735828,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.2, 'e': 0.10237223354809127}",25,15,20.93347026689409,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.2, 'e': 0.09563907744236376}",20,0,4.134248497071725,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
69,False,"{'a': 0.2, 'e': 0.08925942107729658}",20,0,30.234121530799758,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 0.2, 'e': 0.08322201781588376}",30,16,21.810224494356333,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 0.2, 'e': 0.07751538450049157}",20,7,20.087630893962423,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.2, 'e': 0.07212786179619798}",30,24,12.74195960832841,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.2, 'e': 0.0670476712762895}",20,14,11.662104356587475,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.2, 'e': 0.06226296914275819}",25,0,38.85379045891633,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
75,False,"{'a': 0.2, 'e': 0.05776189650475079}",30,16,-16.2649197552764,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
76,False,"{'a': 0.2, 'e': 0.053532626166534}",30,18,26.371657017290275,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.2, 'e': 0.04956340590351166}",20,9,16.16723304338721,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.2, 'e': 0.04584259823004287}",20,8,22.48247497812453,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.2, 'e': 0.04235871668617308}",20,9,-21.20080137118824,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
80,False,"{'a': 0.2, 'e': 0.03910045869183497}",20,5,29.770521001705465,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.2, 'e': 0.036056735036558235}",20,12,17.684815260978482,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.2, 'e': 0.03321669609022477}",30,19,22.43692380189851,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.2, 'e': 0.030569754835916976}",25,10,26.956313588018745,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.2, 'e': 0.028105606839449637}",25,20,7.668075586595754,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.2, 'e': 0.025814247281785024}",20,12,11.713438413332504,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.2, 'e': 0.023685985190258083}",35,27,15.230364220002963,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.2, 'e': 0.02171145501244833}",20,3,26.07467355883839,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.2, 'e': 0.0198816256827052}",25,15,19.56580547655077,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.2, 'e': 0.018187807335851423}",25,13,23.946442344229034,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.2, 'e': 0.016621655825551175}",20,12,-9.825863758968712,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
91,False,"{'a': 0.2, 'e': 0.015175175206339722}",25,3,33.015006889397746,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.2, 'e': 0.013840718338477331}",20,8,25.45983459245771,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.2, 'e': 0.012610985773725202}",30,4,45.56251825693257,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.2, 'e': 0.011479023077959194}",30,16,24.768205984780213,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.2, 'e': 0.010438216743353839}",25,17,14.32965759147725,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.2, 'e': 0.009482288838799223}",25,6,36.22546716418297,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,13,12.938598119643927,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",35,25,15.687898607026014,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,15,19.102701597173027,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,14,20.699393201919342,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",30,17,20.391133262422297,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",30,12,33.06287341222436,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",30,6,14.101524483531964,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,0,30.321998723286963,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,7,-5.981321626068411,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",25,0,17.539015569792568,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
